GenusSpecies,ConGenus,ConFamily,ConOrder,ConClass,ConPhylum,Superkingdom,GrowthRate,RateUnit,Optimum Temp,TempUnit,AverageVolume,VolumeUnit,Sources,Notes
Clostridium butyricum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,7.22E-05,s^-1,35.6,Celsius,4.40E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 4922, 7668, 8156, 8519, 10250, 12331, 12735, 17850, 18544, 18701, 18707, 18718, 18723"
Clostridioides difficile,Clostridioides,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,0.000155904,s^-1,35.1,Celsius,2.48E-18,m^3,"corkrey, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb","29, 4468, 7872, 8013, 8632, 8762, 9085, 9203, 9411, 4576, 9663, 9758, 9864, 10162, 10602, 10628, 10678, 10702, 10741, 10766, 10807, 10826, 10864, 10879, 10911, 10925, 10957, 10976, 11005, 11019, 11042, 11054, 11082, 11094, 11119, 11132, 11160, 12283, 12284, 12285, 12286, 12287, 12288, 12331, 12722, 12723, 14526, 15036, 15037, 17494, 17589, 18701, 18707, 18718, 18723"
Clostridium perfringens,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,0.000364661,event / (individual * second),37,Celsius,1.71E-17,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","284, 555, 4401, 7932, 7959, 8683, 8711, 9131, 9160, 9452, 9480, 9698, 9724, 4607, 12331, 12746, 14127, 14417, 14418, 18545, 18701, 18707, 18718, 18750, 18723, 18842"
Gottschalkia purinilyticum,Gottschalkia,Gottschalkiaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria,4.78E-05,micro (s^-1),36,Celsius,8.16E-18,m^3,"corkrey, engqvist, gold","117, 555, 12331"
[Clostridium] stercorarium,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.40E-06,s^-1,62.083,Celsius,2.19E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, rrndb","70, 555, 6030, 7312, 8334, 8406, 12331, 12751, 16309, 16389, 18701, 18707, 18723"
Ruminiclostridium thermocellum,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,4.81E-06,s^-1,60,Celsius,1.00E-18,m^3,"corkrey, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","16, 4549, 7809, 8064, 8590, 12331, 13688, 14513, 15827, 18701, 18707, 18718, 18723"
Clostridium beijerinckii,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.89E-05,s^-1,33.25,Celsius,6.54E-17,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb","555, 4720, 7716, 8124, 8539, 8828, 9023, 9258, 12331, 12729, 14586, 17166, 18320, 18560, 18701, 18707, 18718, 18723"
Moorella thermoacetica,Moorella,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,6.68E-07,s^-1,58,Celsius,3.35E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","89, 555, 4704, 7726, 8118, 8543, 8823, 12331, 13316, 14347, 18701, 18707, 18718, 18723, 18892"
Lactobacillus acidophilus,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,3.33E-05,s^-1,35,Celsius,1.55E-18,m^3,"bacdive-microa, campedelli, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, patric, protraits, rrndb, silva, bergeys","1, 2, 555, 4675, 7741, 8107, 8555, 8814, 9035, 12331, 13123, 13124, 14275, 15352, 16509, 17406, 18546, 18701, 18707, 18718, 18723, 18873"
Lactobacillus casei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,0.000127889,s^-1,36,Celsius,1.72E-18,m^3,"campedelli, engqvist, genbank, gold, kegg, masonmm, microbe-directory, patric, protraits, rrndb, bergeys","2, 555, 4485, 7859, 8023, 8625, 8770, 9079, 9210, 9405, 9519, 9659, 9761, 12331, 14762, 15204, 15849, 15850, 16209, 16584, 17391, 18545, 18701, 18707, 18718, 18723"
Lactobacillus delbrueckii,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,2.46E-05,s^-1,40.286,Celsius,8.27E-17,m^3,"bacdive-microa, campedelli, engqvist, fierer, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","1, 2, 555, 2223, 4463, 7877, 8008, 8637, 8757, 9089, 9199, 9414, 9512, 9666, 9755, 9867, 9942, 10021, 10097, 10166, 10233, 10285, 12331, 13129, 14403, 14458, 15277, 15851, 18547, 18548, 18701, 18707, 18718, 18723"
Lactobacillus plantarum,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,6.42E-05,s^-1,36.02,Celsius,4.46E-18,m^3,"bacdive-microa, campedelli, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","1, 2, 555, 4676, 7740, 8108, 8554, 8815, 9034, 9247, 9372, 9549, 9633, 9785, 9841, 9963, 10002, 10118, 10148, 10245, 10272, 10356, 10379, 10465, 10531, 10546, 10610, 10622, 10685, 10696, 10748, 10760, 10812, 10823, 10921, 10962, 10972, 10007, 11015, 11047, 5426, 11084, 11091, 11122, 11129, 11164, 11169, 11199, 11204, 11236, 11240, 11268, 11273, 11298, 11304, 11328, 11331, 11349, 11352, 11992, 12331, 13146, 14165, 14985, 15247, 16325, 16527, 16553, 17405, 18560, 18701, 18707, 18718, 18723, 18875"
Corynebacterium diphtheriae,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria,0.000104517,s^-1,37,Celsius,1.03E-18,m^3,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","1, 555, 4607, 7766, 8091, 8568, 8806, 9043, 9242, 9378, 9544, 9637, 9780, 9846, 9959, 10006, 10113, 4576, 10243, 10274, 12331, 12774, 14201, 15590, 15591, 15596, 15597, 15598, 15599, 15600, 15601, 15602, 15603, 15604, 15605, 17973, 18540, 18701, 18707, 18718, 18723"
Corynebacterium glutamicum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria,6.22E-05,s^-1,32.818,Celsius,9.74E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4449, 7887, 7998, 8646, 8747, 9096, 9192, 9422, 9671, 9750, 5584, 9939, 10025, 10094, 10169, 10230, 10288, 10344, 10391, 10439, 10474, 10521, 12331, 12779, 14153, 14286, 14540, 16370, 16547, 16548, 16644, 17117, 17394, 18560, 18701, 18707, 18718, 18751, 18723, 18845"
Peptoclostridium acidaminophilum,Peptoclostridium,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,8.38E-05,s^-1,30,Celsius,1.91E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, patric, rrndb, bergeys","555, 6217, 12331, 13510, 16869, 18707, 18723"
Thermodesulfobacterium commune,Thermodesulfobacterium,Thermodesulfobacteriaceae,Thermodesulfobacteriales,Thermodesulfobacteria,Thermodesulfobacteria,Bacteria,2.68E-06,s^-1,70,Celsius,5.65E-20,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, patric, rrndb, bergeys","255, 555, 5521, 12331, 13938, 16977, 18707, 18723"
Thermoanaerobacter ethanolicus,Thermoanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,3.57E-06,s^-1,66.25,Celsius,1.38E-18,m^3,"corkrey, engqvist, gold, microbe-directory, patric, protraits, bergeys","376, 555, 12331, 18701, 18707, 18718"
Mycobacterium leprae,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria,2.47E-07,s^-1,35.938,Celsius,5.49E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4566, 7795, 8077, 12331, 13335, 14101, 14881, 18701, 18707, 18718, 18756, 18723, 18895"
Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria,3.38E-06,s^-1,36.898,Celsius,3.74E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4392, 7950, 9140, 9151, 9461, 9472, 9705, 9715, 9903, 10055, 10207, 10313, 10322, 10420, 10494, 10501, 10572, 10580, 10649, 10657, 10720, 10727, 10783, 10790, 10842, 10894, 10938, 10945, 10989, 10996, 11071, 7489, 11181, 11187, 11217, 11224, 11250, 11256, 11343, 11359, 11365, 11380, 11436, 11446, 11451, 11471, 11732, 11779, 11780, 11786, 11789, 11793, 12297, 12298, 12299, 12300, 12301, 12302, 12331, 13345, 14072, 14107, 14579, 14584, 14979, 15593, 15674, 15885, 15886, 15887, 15888, 16034, 16035, 16070, 16388, 16478, 16479, 16514, 16515, 16516, 16536, 16604, 16688, 16920, 16921, 16922, 18560, 18707, 18718, 18723, 18894"
Mycoplasma pneumoniae,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria,1.40E-05,s^-1,37,Celsius,1.74E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 4609, 7764, 8093, 8566, 8808, 9041, 9244, 9376, 9546, 9635, 9782, 9844, 9961, 10004, 10115, 10149, 10244, 10273, 10355, 10380, 10448, 10466, 10529, 10547, 10609, 10623, 10684, 10697, 10747, 10761, 11163, 11170, 12331, 13373, 14063, 15614, 15821, 16458, 18701, 18707, 18718, 18723, 18902"
Ureaplasma urealyticum,Ureaplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria,3.95E-05,s^-1,37,Celsius,1.31E-19,m^3,"engqvist, genbank, gold, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4510, 12331, 14820, 18701, 18707, 18718, 18723, 18980"
Methanobacterium bryantii,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,2.87E-06,s^-1,38,Celsius,5.41E-18,m^3,"engqvist, gold, methanogen, patric","555, 12331, 18565, 18707"
Methanobacterium palustre,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,5.04E-06,s^-1,35,Celsius,7.04E-19,m^3,"corkrey, engqvist, gold, methanogen","444, 555, 12331, 18576"
Methanothermus fervidus,Methanothermus,Methanothermaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,1.29E-06,s^-1,83.25,Celsius,1.81E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","419, 555, 5097, 12331, 13282, 15269, 18696, 18701, 18707, 18718, 18723"
Methanothermus sociabilis,Methanothermus,Methanothermaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,6.02E-07,s^-1,88,Celsius,3.74E-19,m^3,"corkrey, engqvist, gold, methanogen","19, 555, 12331, 18697"
Methanothermococcus thermolithotrophicus,Methanothermococcus,Methanococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,9.28E-06,s^-1,65,Celsius,3.53E-18,m^3,"engqvist, gold, methanogen, microbe-directory","555, 12331, 18695, 18701"
Methanococcus voltae,Methanococcus,Methanococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,2.32E-05,s^-1,38,Celsius,5.61E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","503, 555, 4530, 12331, 13251, 15176, 18610, 18701, 18707, 18718, 18723"
Methanotorris igneus,Methanotorris,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,4.48E-06,s^-1,87,Celsius,3.53E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, protraits, rrndb","507, 555, 5329, 12331, 13283, 15424, 18699, 18701, 18718, 18723"
Methanocaldococcus jannaschii,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea,3.91E-06,s^-1,85,Celsius,3.53E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb, silva","237, 555, 4622, 12331, 13241, 14061, 18598, 18701, 18707, 18718, 18723, 18884"
Methanocorpusculum parvum,Methanocorpusculum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,7.41E-06,s^-1,37,Celsius,1.05E-18,m^3,"engqvist, gold, methanogen, patric","555, 12331, 18614, 18707"
Methanogenium cariaci,Methanogenium,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,8.18E-06,s^-1,22.5,Celsius,1.84E-17,m^3,"corkrey, engqvist, gold, methanogen","353, 555, 12331, 18619"
Methanoculleus marisnigri,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,1.50E-05,s^-1,22.75,Celsius,2.30E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","353, 555, 4980, 12331, 13254, 14516, 18619, 18701, 18707, 18718, 18723"
Methanogenium organophilum,Methanogenium,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,1.35E-05,s^-1,32.5,Celsius,1.05E-18,m^3,"engqvist, gold, methanogen","555, 12331, 18633"
Methanoculleus thermophilus,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,8.74E-06,s^-1,55,Celsius,1.59E-18,m^3,"corkrey, engqvist, gold, methanogen","488, 555, 12331, 18624"
Methanofollis liminatans,Methanofollis,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,5.66E-06,s^-1,39,Celsius,3.53E-18,m^3,"engqvist, gold, methanogen, microbe-directory","555, 12331, 18628, 18701"
Methanospirillum hungatei,Methanospirillum,Methanospirillaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,2.17E-06,s^-1,37.125,Celsius,1.08E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","555, 4743, 12331, 13278, 14364, 18683, 18701, 18707, 18718, 18723"
Methanosarcina barkeri,Methanosarcina,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,8.15E-06,s^-1,37.5,Celsius,5.61E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb, silva","350, 555, 4623, 7759, 8097, 8563, 8810, 9039, 12331, 13266, 13267, 14310, 17546, 17547, 17615, 18121, 18669, 18701, 18707, 18718, 18723, 18887"
Methanosarcina mazei,Methanosarcina,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,8.43E-06,s^-1,35.6,Celsius,8.38E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","555, 4647, 7751, 8101, 8561, 8811, 9038, 11393, 12331, 13270, 14134, 16344, 18120, 18203, 18673, 18701, 18707, 18718, 18723"
Methanosarcina thermophila,Methanosarcina,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,3.40E-06,s^-1,52.5,Celsius,8.38E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, methanogen, rrndb","555, 6400, 7202, 12331, 13274, 17595, 17596, 18678, 18723"
Methanosarcina acetivorans,Methanosarcina,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,7.31E-06,s^-1,38.125,Celsius,8.38E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","305, 555, 4655, 12331, 13265, 14132, 18667, 18701, 18707, 18718, 18723"
Methanosarcina vacuolata,Methanosarcina,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,6.86E-06,s^-1,38,Celsius,3.53E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, rrndb","350, 555, 6405, 12331, 13275, 17523, 18679, 18723"
Methanosaeta concilii,Methanosaeta,Methanosaetaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,8.81E-07,s^-1,37.5,Celsius,3.16E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, rrndb","555, 5439, 12331, 13262, 15384, 18663, 18701, 18723"
Methanosaeta thermophila,Methanosaeta,Methanosaetaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,3.98E-07,s^-1,57.5,Celsius,4.40E-18,m^3,"engqvist, genbank, gold, kegg, methanogen, microbe-directory, patric, protraits","555, 4816, 12331, 14456, 18663, 18701, 18707, 18718"
Methanococcoides methylutens,Methanococcoides,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,1.25E-05,s^-1,32.5,Celsius,3.14E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, methanogen, patric, rrndb","438, 555, 7222, 12331, 13246, 17614, 18605, 18707, 18723"
Archaeoglobus fulgidus,Archaeoglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea,3.31E-07,s^-1,77.667,Celsius,2.88E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","20, 555, 4624, 7758, 12331, 12431, 14068, 16996, 18701, 18707, 18718, 18723, 18804"
Halobacterium salinarum,Halobacterium,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1.04E-05,s^-1,45.292,Celsius,5.52E-19,m^3,"corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","149, 555, 1917, 4634, 7755, 12331, 13030, 14093, 14701, 18701, 18707, 18718, 18764, 18723, 18866"
Haloferax volcanii,Haloferax,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1.85E-05,s^-1,42,Celsius,3.53E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","149, 555, 4713, 12331, 13035, 15127, 18701, 18707, 18718, 18723"
Halorubrum saccharovorum,Halorubrum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1.12E-05,s^-1,37,Celsius,2.12E-18,m^3,"corkrey, engqvist, gold, microbe-directory, pasteur, bergeys","149, 555, 12331, 18701"
Sulfolobus acidocaldarius,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea,9.86E-07,s^-1,74.375,Celsius,7.63E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","18, 555, 4798, 7696, 8135, 8532, 11299, 12331, 13863, 14292, 16319, 16320, 16799, 18701, 18707, 18718, 18723, 18961"
Sulfolobus solfataricus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea,3.70E-07,s^-1,80.7,Celsius,2.87E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 4565, 7796, 8076, 8579, 8799, 9050, 12331, 13865, 14108, 16019, 17611, 17612, 17613, 18701, 18707, 18718, 18723, 18962"
Desulfobacter curvatus,Desulfobacter,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,4.58E-06,s^-1,29.75,Celsius,1.04E-18,m^3,"corkrey, engqvist, gold, microbe-directory, patric","540, 555, 12331, 18701, 18707"
Desulfobacter latus,Desulfobacter,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,4.43E-06,s^-1,30.5,Celsius,1.52E-17,m^3,"corkrey, engqvist, gold","540, 555, 12331"
Methanosphaera stadtmanae,Methanosphaera,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,1.08E-05,s^-1,37.5,Celsius,1.39E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, methanogen, microbe-directory, patric, protraits, rrndb","555, 4810, 12331, 13276, 14352, 18681, 18701, 18707, 18718, 18723"
Methanopyrus kandleri,Methanopyrus,Methanopyraceae,Methanopyrales,Methanopyri,Euryarchaeota,Archaea,1.14E-06,event / (individual * second),96.125,Celsius,1.54E-18,m^3,"corkrey, engqvist, genbank, gold, kegg, methanogen, microbe-directory, patric, protraits, silva","411, 555, 4646, 12331, 14130, 18660, 18701, 18707, 18718, 18886"
Thermoanaerobacter kivui,Thermoanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,3.93E-06,s^-1,60,Celsius,1.99E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, rrndb, bergeys","242, 555, 6296, 12331, 13917, 17149, 18723"
Halanaerobium praevalens,Halanaerobium,Halanaerobiaceae,Halanaerobiales,Clostridia,Firmicutes,Bacteria,1.47E-05,s^-1,37,Celsius,1.54E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","64, 555, 5063, 12331, 13024, 15835, 18701, 18707, 18718, 18723"
Flexistipes sinusarabici,Flexistipes,Deferribacteraceae,Deferribacterales,Deferribacteres,Deferribacteres,Bacteria,2.86E-06,s^-1,47.5,Celsius,1.94E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","109, 555, 5274, 12331, 12964, 15451, 18701, 18707, 18718, 18723"
Acetonema longum,Acetonema,Sporomusaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria,2.41E-06,s^-1,31.5,Celsius,3.16E-18,m^3,"corkrey, engqvist, gold, microbe-directory, bergeys","104, 555, 12331, 18701"
Sulfobacillus thermosulfidooxidans,Sulfobacillus,Clostridiales Family XVII. Incertae Sedis,Clostridiales,Clostridia,Firmicutes,Bacteria,8.16E-06,s^-1,50,Celsius,1.26E-18,m^3,"corkrey, engqvist, gold, microbe-directory, patric, bergeys","140, 555, 12331, 18701, 18707"
Colwellia psychrerythraea,Colwellia,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,6.99E-05,s^-1,8,Celsius,5.56E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","278, 555, 4645, 12331, 12755, 14297, 18701, 18707, 18718, 18723, 18844"
Petrotoga miotherma,Petrotoga,NA,Petrotogales,Thermotogae,Thermotogae,Bacteria,1.03E-06,s^-1,55,Celsius,1.29E-18,m^3,"corkrey, engqvist, gold","385, 555, 12331"
Haloarcula vallismortis,Haloarcula,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1.02E-05,s^-1,42.5,Celsius,2.68E-18,m^3,"corkrey, engqvist, gold, microbe-directory, bergeys","149, 555, 12331, 18701"
Burkholderia pseudomallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,9.12E-05,s^-1,38.5,Celsius,9.33E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 4444, 7892, 7993, 8651, 8742, 9101, 9187, 9427, 9501, 9676, 9746, 9875, 9935, 10029, 10089, 10174, 10227, 10291, 10342, 10393, 10437, 10476, 10519, 10557, 10597, 10632, 10674, 10706, 10736, 10771, 10802, 10830, 10859, 10885, 10908, 10929, 10953, 10981, 11003, 11021, 11040, 11056, 11079, 11096, 11117, 11135, 11158, 11175, 11209, 11231, 11263, 11334, 11479, 11488, 11490, 12209, 12210, 12331, 12581, 14248, 14328, 14519, 14520, 14933, 15943, 16173, 16611, 16736, 16820, 16832, 16931, 17173, 17178, 17210, 17232, 18701, 18707, 18718, 18723, 18827"
Natronococcus occultus,Natronococcus,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,1.23E-05,s^-1,37.1,Celsius,2.09E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","149, 555, 5569, 12331, 13389, 16295, 18701, 18707, 18718, 18723"
Pyrococcus abyssi,Pyrococcus,Thermococcaceae,Thermococcales,Thermococci,Euryarchaeota,Archaea,1.81E-06,s^-1,98.5,Celsius,2.87E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","247, 555, 4629, 12331, 13616, 14080, 18701, 18707, 18718, 18723, 18930"
[Clostridium] paradoxum,NA,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2.45E-05,s^-1,56,Celsius,1.88E-18,m^3,"corkrey, engqvist, gold, rrndb","465, 555, 12331, 18748"
[Clostridium] termitidis,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,5.91E-06,s^-1,37,Celsius,9.49E-19,m^3,"corkrey, engqvist, gold, microbe-directory, patric, bergeys","21, 555, 12331, 18701, 18707"
Clostridium thermobutyricum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,3.50E-05,s^-1,55,Celsius,2.29E-18,m^3,"corkrey, engqvist, gold","13, 555, 12331"
Microlunatus phosphovorus,Microlunatus,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria,6.91E-06,s^-1,37,Celsius,2.87E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, protraits, rrndb, bergeys","555, 5458, 12331, 13312, 15447, 18701, 18718, 18723"
Pseudomonas savastanoi,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,8.60E-05,s^-1,25.5,Celsius,5.09E-19,m^3,"engqvist, genbank, gold, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 5180, 7594, 12331, 14305, 18551, 18701, 18707, 18718, 18723"
Photorhabdus luminescens,Photorhabdus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,0.000151488,s^-1,28.8,Celsius,2.61E-18,m^3,"engqvist, fierer, genbank, gold, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 3251, 7066, 7119, 8381, 8383, 12331, 14199, 18701, 18707, 18718, 18723, 18919"
